date,high,low,close
6/27/2017,"1,643.52","1,628.54","1,628.54"
11/14/2017,"1,635.55","1,623.09","1,628.48"
1/12/2018,"1,634.58","1,621.24","1,628.40"
5/17/2017,"1,653.06","1,624.55","1,628.37"
6/20/2019,"1,632.83","1,617.45","1,628.29"
4/30/2015,"1,642.97","1,615.45","1,628.04"
8/5/2015,"1,630.01","1,615.63","1,627.42"
7/3/2017,"1,628.55","1,602.70","1,627.41"
1/15/2018,"1,630.22","1,622.93","1,627.29"
7/5/2017,"1,629.27","1,614.22","1,627.21"
4/11/2019,"1,633.09","1,620.98","1,627.03"
11/15/2017,"1,628.48","1,612.49","1,627.00"
4/28/2017,"1,627.73","1,616.33","1,626.99"
5/21/2018,"1,634.76","1,622.18","1,626.25"
7/12/2019,"1,629.20","1,613.31","1,625.62"
9/18/2018,"1,640.71","1,616.04","1,625.45"
6/4/2015,"1,639.26","1,618.84","1,625.02"
9/28/2017,"1,627.31","1,618.85","1,624.98"
6/15/2017,"1,641.52","1,616.22","1,624.97"
7/10/2017,"1,627.81","1,617.00","1,624.81"
1/18/2018,"1,630.53","1,619.88","1,624.78"
7/23/2019,"1,627.87","1,602.22","1,624.77"
4/8/2019,"1,624.52","1,615.76","1,624.52"
10/9/2018,"1,625.77","1,607.82","1,624.49"
5/22/2018,"1,632.30","1,617.15","1,624.44"
2/12/2015,"1,631.27","1,594.30","1,624.35"
9/10/2018,"1,629.48","1,613.46","1,624.25"
9/27/2017,"1,627.69","1,610.76","1,623.77"
12/12/2017,"1,625.05","1,612.97","1,623.75"
11/20/2017,"1,626.02","1,607.77","1,623.54"
5/8/2019,"1,624.77","1,611.50","1,623.37"
1/16/2018,"1,630.01","1,620.46","1,623.33"
1/17/2018,"1,629.67","1,614.46","1,622.85"
8/17/2018,"1,623.22","1,608.93","1,622.71"
8/8/2018,"1,624.10","1,614.73","1,622.63"
5/18/2015,"1,626.79","1,611.59","1,622.57"
7/10/2019,"1,636.65","1,621.55","1,622.45"
6/28/2019,"1,627.01","1,615.32","1,622.43"
4/3/2019,"1,622.38","1,596.04","1,622.38"
4/5/2019,"1,624.28","1,616.26","1,622.27"
5/13/2015,"1,622.03","1,603.95","1,622.01"
9/13/2018,"1,628.87","1,616.81","1,621.85"
7/4/2017,"1,627.29","1,617.48","1,621.67"
5/18/2018,"1,627.13","1,617.86","1,621.61"
7/11/2017,"1,631.29","1,620.69","1,621.57"
8/6/2015,"1,627.48","1,619.42","1,621.56"
7/22/2015,"1,633.35","1,621.27","1,621.27"
10/8/2018,"1,634.45","1,620.82","1,621.19"
7/6/2017,"1,627.21","1,609.98","1,620.99"
6/23/2015,"1,628.24","1,611.54","1,620.95"
11/28/2017,"1,622.11","1,608.31","1,620.81"
9/11/2018,"1,625.86","1,609.39","1,620.39"
4/26/2017,"1,621.94","1,608.99","1,620.28"
8/7/2018,"1,621.26","1,610.52","1,619.89"
12/13/2017,"1,624.32","1,584.53","1,619.82"
7/23/2015,"1,636.49","1,617.40","1,619.81"
12/11/2017,"1,627.94","1,610.93","1,619.47"
1/8/2018,"1,622.41","1,612.98","1,619.13"
5/17/2018,"1,618.95","1,602.28","1,618.95"
9/12/2018,"1,631.12","1,614.30","1,618.81"
8/3/2015,"1,621.73","1,610.49","1,618.28"
9/7/2018,"1,634.80","1,610.72","1,618.20"
5/7/2019,"1,653.00","1,613.35","1,617.85"
11/17/2017,"1,633.94","1,613.90","1,617.70"
11/22/2017,"1,637.99","1,617.52","1,617.52"
4/25/2017,"1,620.64","1,606.89","1,617.05"
5/11/2015,"1,625.17","1,607.64","1,617.03"
7/7/2017,"1,623.17","1,614.64","1,617.00"
6/27/2019,"1,621.73","1,605.08","1,616.94"
8/10/2018,"1,627.44","1,613.39","1,616.82"
5/9/2018,"1,623.04","1,603.06","1,616.80"
12/4/2017,"1,624.05","1,595.59","1,616.80"
4/27/2017,"1,620.74","1,614.57","1,616.58"
4/9/2019,"1,633.83","1,614.01","1,616.56"
5/15/2015,"1,637.11","1,615.02","1,616.48"
5/8/2015,"1,619.01","1,580.13","1,616.45"
12/21/2017,"1,616.98","1,593.26","1,616.27"
7/14/2015,"1,616.56","1,607.14","1,616.25"
4/4/2019,"1,622.75","1,608.94","1,616.24"
7/31/2015,"1,615.64","1,600.45","1,615.64"
12/18/2017,"1,616.26","1,593.71","1,615.63"
7/31/2018,"1,619.11","1,610.50","1,615.60"
5/16/2019,"1,615.38","1,586.25","1,615.38"
5/18/2017,"1,628.52","1,604.29","1,615.27"
3/19/2019,"1,622.33","1,604.32","1,615.14"
8/11/2015,"1,638.12","1,611.61","1,614.72"
11/24/2017,"1,620.25","1,606.60","1,614.62"
7/13/2015,"1,616.56","1,601.14","1,614.42"
11/29/2017,"1,628.76","1,613.56","1,613.56"
12/5/2017,"1,620.45","1,607.03","1,613.36"
6/29/2017,"1,643.72","1,612.39","1,613.22"
7/11/2019,"1,631.35","1,609.44","1,613.21"
7/24/2019,"1,625.54","1,608.29","1,613.06"
7/24/2015,"1,626.72","1,611.19","1,612.80"
7/27/2018,"1,615.39","1,607.63","1,612.76"
1/26/2018,"1,614.60","1,601.73","1,612.63"
11/23/2017,"1,616.79","1,607.64","1,612.57"
8/1/2018,"1,622.09","1,611.48","1,612.54"
6/19/2019,"1,615.81","1,607.11","1,612.40"
8/7/2015,"1,622.94","1,612.28","1,612.28"
8/3/2018,"1,614.86","1,599.41","1,611.95"
8/4/2015,"1,616.90","1,606.54","1,611.88"
8/13/2018,"1,616.34","1,607.81","1,611.80"
6/24/2015,"1,627.57","1,606.75","1,611.50"
12/19/2017,"1,620.57","1,610.62","1,611.43"
8/16/2018,"1,612.52","1,595.84","1,611.33"
1/5/2018,"1,611.31","1,604.08","1,611.31"
7/30/2018,"1,615.40","1,606.65","1,611.07"
6/24/2019,"1,635.59","1,609.32","1,610.94"
12/8/2017,"1,621.38","1,599.57","1,610.82"
9/26/2017,"1,614.12","1,601.86","1,610.76"
1/29/2018,"1,620.46","1,608.51","1,610.40"
6/10/2015,"1,613.03","1,578.85","1,610.38"
11/30/2017,"1,624.47","1,609.10","1,610.11"
7/19/2017,"1,618.57","1,592.51","1,609.96"
12/14/2017,"1,622.08","1,609.60","1,609.60"
6/18/2019,"1,612.05","1,573.14","1,609.43"
4/24/2017,"1,609.27","1,574.10","1,609.27"
5/8/2018,"1,608.94","1,591.32","1,608.94"
7/26/2018,"1,609.65","1,595.02","1,608.80"
11/27/2017,"1,618.85","1,607.15","1,608.74"
8/14/2018,"1,621.61","1,603.35","1,608.56"
8/6/2018,"1,616.29","1,603.82","1,608.48"
6/26/2015,"1,614.30","1,584.03","1,608.26"
7/18/2017,"1,639.35","1,605.37","1,607.36"
6/25/2019,"1,612.94","1,605.12","1,607.29"
5/17/2019,"1,614.44","1,591.06","1,606.86"
5/15/2018,"1,608.47","1,593.16","1,606.72"
6/22/2015,"1,606.62","1,581.63","1,606.62"
6/5/2015,"1,616.95","1,601.16","1,606.45"
12/22/2017,"1,616.22","1,602.11","1,606.25"
3/20/2019,"1,619.75","1,605.99","1,605.99"
7/19/2019,"1,605.42","1,578.62","1,605.42"
3/21/2019,"1,610.04","1,595.45","1,605.03"
3/18/2019,"1,607.54","1,595.92","1,605.01"
6/11/2015,"1,618.66","1,596.48","1,604.89"
1/25/2018,"1,630.00","1,600.89","1,604.49"
6/26/2019,"1,611.19","1,596.01","1,604.23"
9/25/2017,"1,608.49","1,598.84","1,604.10"
1/4/2018,"1,606.71","1,587.88","1,603.67"
7/30/2015,"1,609.38","1,592.19","1,603.50"
5/10/2019,"1,615.61","1,593.47","1,603.37"
1/30/2018,"1,612.24","1,602.29","1,603.31"
5/11/2018,"1,619.79","1,601.12","1,603.25"
5/21/2019,"1,605.69","1,590.89","1,602.91"
2/10/2015,"1,605.94","1,583.04","1,602.74"
6/30/2017,"1,620.48","1,602.53","1,602.53"
5/16/2018,"1,606.70","1,593.25","1,602.27"
5/23/2018,"1,621.90","1,597.76","1,602.10"
7/15/2015,"1,612.55","1,600.40","1,601.97"
2/1/2018,"1,610.27","1,596.00","1,601.84"
7/24/2018,"1,605.40","1,582.32","1,601.38"
6/25/2015,"1,613.17","1,594.90","1,601.12"
7/22/2019,"1,607.45","1,598.11","1,600.88"
9/22/2017,"1,600.77","1,591.70","1,600.77"
12/20/2017,"1,613.69","1,597.42","1,600.29"
5/12/2015,"1,609.89","1,589.66","1,600.10"
2/6/2015,"1,601.12","1,580.99","1,599.55"
12/7/2017,"1,606.94","1,594.77","1,599.29"
5/14/2018,"1,607.40","1,593.66","1,598.58"
6/13/2019,"1,604.73","1,587.06","1,598.12"
7/17/2019,"1,630.91","1,598.06","1,598.06"
8/2/2018,"1,611.26","1,592.54","1,598.06"
5/7/2018,"1,600.45","1,577.15","1,597.93"
7/29/2015,"1,603.32","1,583.08","1,597.86"
7/20/2017,"1,612.52","1,593.15","1,597.84"
6/12/2015,"1,611.40","1,588.43","1,597.33"
5/9/2019,"1,622.45","1,593.84","1,596.69"
9/21/2017,"1,597.56","1,585.38","1,596.31"
3/15/2019,"1,597.61","1,582.25","1,595.76"
5/22/2019,"1,605.75","1,587.78","1,595.64"
5/5/2015,"1,640.68","1,595.38","1,595.48"
12/6/2017,"1,609.21","1,591.25","1,595.44"
10/10/2018,"1,626.19","1,591.93","1,595.13"
12/27/2017,"1,613.76","1,589.78","1,594.99"
3/13/2017,"1,599.83","1,586.01","1,594.71"
12/15/2017,"1,610.59","1,585.79","1,594.35"
8/13/2015,"1,599.61","1,586.29","1,594.15"
4/2/2019,"1,598.71","1,577.59","1,593.95"
3/12/2018,"1,602.26","1,589.17","1,593.83"
6/12/2019,"1,596.32","1,580.45","1,593.60"
8/15/2018,"1,619.16","1,592.05","1,593.59"
5/24/2018,"1,612.78","1,588.03","1,593.57"
2/3/2015,"1,594.63","1,581.16","1,593.42"
6/11/2019,"1,597.43","1,575.56","1,593.36"
5/15/2019,"1,597.96","1,574.77","1,593.32"
7/25/2018,"1,605.28","1,593.04","1,593.27"
3/16/2017,"1,603.06","1,585.60","1,593.25"
1/31/2018,"1,613.16","1,592.39","1,593.15"
2/11/2015,"1,604.97","1,589.36","1,593.03"
8/17/2015,"1,603.68","1,578.41","1,592.81"
3/15/2018,"1,592.28","1,580.19","1,592.28"
12/1/2017,"1,611.07","1,592.20","1,592.20"
2/9/2015,"1,593.18","1,582.56","1,591.40"
3/1/2017,"1,594.56","1,570.96","1,591.37"
5/2/2018,"1,592.12","1,574.88","1,590.97"
5/14/2019,"1,591.12","1,574.40","1,590.82"
3/14/2019,"1,590.76","1,572.83","1,590.76"
7/10/2015,"1,590.54","1,570.63","1,590.54"
2/21/2017,"1,592.75","1,570.01","1,590.09"
3/9/2018,"1,592.77","1,580.38","1,589.62"
6/14/2019,"1,597.38","1,579.39","1,589.60"
6/8/2015,"1,608.24","1,589.57","1,589.57"
5/20/2019,"1,607.13","1,582.58","1,588.90"
3/15/2017,"1,590.23","1,581.22","1,588.89"
2/22/2019,"1,591.81","1,573.01","1,588.83"
2/20/2019,"1,591.36","1,578.74","1,588.61"
12/28/2017,"1,594.95","1,584.25","1,588.51"
2/23/2017,"1,593.61","1,582.16","1,588.30"
2/27/2018,"1,595.35","1,583.52","1,588.23"
7/28/2015,"1,594.86","1,578.39","1,588.22"
6/14/2018,"1,591.66","1,559.40","1,588.00"
3/5/2019,"1,590.41","1,575.58","1,587.97"
3/10/2017,"1,595.00","1,584.09","1,587.93"
6/9/2015,"1,594.46","1,569.46","1,587.84"
3/4/2019,"1,592.68","1,580.29","1,587.79"
4/23/2018,"1,587.65","1,570.84","1,587.65"
5/7/2015,"1,594.42","1,558.16","1,587.65"
3/31/2017,"1,590.52","1,570.22","1,587.63"
1/3/2018,"1,591.10","1,577.61","1,587.56"
9/14/2017,"1,587.98","1,578.57","1,587.52"
2/19/2019,"1,591.96","1,581.73","1,587.22"
5/25/2018,"1,603.04","1,584.91","1,586.98"
2/26/2018,"1,591.59","1,578.87","1,586.96"
8/14/2015,"1,598.29","1,583.34","1,586.83"
2/25/2019,"1,598.09","1,581.09","1,586.55"
6/17/2019,"1,593.65","1,582.28","1,586.53"
2/5/2015,"1,588.32","1,572.72","1,586.13"
3/14/2017,"1,595.16","1,576.51","1,586.00"
3/8/2018,"1,586.22","1,564.18","1,585.53"
9/20/2017,"1,588.48","1,581.90","1,585.38"
3/14/2018,"1,598.35","1,578.63","1,585.31"
3/17/2017,"1,593.94","1,578.47","1,584.97"
2/2/2018,"1,602.02","1,581.04","1,584.79"
9/19/2017,"1,586.22","1,580.76","1,584.43"
3/29/2017,"1,587.08","1,576.39","1,584.43"
7/19/2018,"1,589.81","1,571.15","1,584.34"
5/6/2015,"1,602.48","1,573.90","1,584.18"
2/26/2019,"1,589.23","1,577.16","1,583.95"
3/30/2017,"1,585.17","1,572.16","1,583.88"
2/18/2019,"1,588.82","1,576.66","1,583.86"
2/15/2019,"1,584.46","1,555.98","1,583.82"
3/9/2017,"1,585.44","1,572.60","1,583.73"
8/18/2015,"1,592.84","1,580.39","1,583.53"
2/28/2018,"1,594.51","1,580.95","1,583.39"
3/20/2017,"1,587.79","1,581.40","1,583.25"
